weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,AmsterTime_R1,AmsterTime_R5,AmsterTime_R10,AmsterTime_map_memory,AmsterTime_total_memory,AmsterTime_matching_lat,AmsterTime_total_cpu_lat_bs1,AmsterTime_total_gpu_lat_bs1
ResNet34_GeM_agg_0.25_sparsity_0.315_R1_0.910.ckpt,ResNet34_GeM,0.315,,7510196224.0,85.20239639282227,260.05444526672363,35.182154178619385,,,,,,7.425284385681152,336.4667654037476,42.99969673156738,,,,,,1.039719581604004,261.09416484832764,36.22187376022339
ResNet34_GeM_agg_0.25_sparsity_0.342_R1_0.908.ckpt,ResNet34_GeM,0.342,,7510196224.0,85.20239639282227,254.6260595321656,33.44391584396362,,,,,,7.254838943481445,342.0865774154663,40.64176082611084,,,,,,0.9948253631591798,255.6208848953247,34.4387412071228
ResNet34_GeM_agg_0.25_sparsity_0.367_R1_0.907.ckpt,ResNet34_GeM,0.367,,7510196224.0,85.20239639282227,247.5922465324402,33.28096866607666,,,,,,7.036590576171875,345.1721429824829,40.22568464279175,,,,,,0.9783029556274414,248.57054948806763,34.2592716217041
ResNet34_GeM_agg_0.25_sparsity_0.395_R1_0.908.ckpt,ResNet34_GeM,0.395,,7510196224.0,85.20239639282227,240.63316583633423,35.69365739822388,,,,,,6.888437271118164,329.7787070274353,42.44084358215332,,,,,,0.9752511978149414,241.6084170341492,36.66890859603882
ResNet34_GeM_agg_0.25_sparsity_0.420_R1_0.904.ckpt,ResNet34_GeM,0.42,,7510196224.0,85.20239639282227,234.7292423248291,31.7073941230774,,,,,,6.732702255249023,319.8249101638794,38.58882188796997,,,,,,0.9271621704101562,235.6564044952393,32.63455629348755
ResNet34_GeM_agg_0.25_sparsity_0.432_R1_0.905.ckpt,ResNet34_GeM,0.432,,7510196224.0,85.20239639282227,231.06282949447632,25.671815872192383,,,,,,6.623172760009766,329.2221546173096,32.38236904144287,,,,,,0.918889045715332,231.98171854019165,26.590704917907715
ResNet34_GeM_agg_0.50_sparsity_0.037_R1_0.916.ckpt,ResNet34_GeM,0.037,,7510196224.0,85.20239639282227,331.2373757362366,43.42801570892334,,,,,,8.536458015441895,393.4093713760376,53.2046914100647,,,,,,1.2687921524047852,332.50616788864136,44.696807861328125
ResNet34_GeM_agg_0.50_sparsity_0.070_R1_0.913.ckpt,ResNet34_GeM,0.07,,7510196224.0,85.20239639282227,323.728346824646,44.18759346008301,,,,,,8.257412910461426,389.17781114578247,52.68348455429077,,,,,,1.162552833557129,324.8908996582031,45.35014629364014
ResNet34_GeM_agg_0.50_sparsity_0.105_R1_0.911.ckpt,ResNet34_GeM,0.105,,7510196224.0,85.20239639282227,315.84092378616333,45.06237506866455,,,,,,7.915449142456056,394.2858576774597,52.85859107971192,,,,,,1.098799705505371,316.9397234916687,46.16117477416992
ResNet34_GeM_agg_0.50_sparsity_0.137_R1_0.912.ckpt,ResNet34_GeM,0.137,,7510196224.0,85.20239639282227,307.7617406845093,42.10439920425415,,,,,,7.668471336364746,372.74136543273926,49.52801465988159,,,,,,0.7193326950073242,308.4810733795166,42.82373189926148
